Client,Warehouse,Product,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02
0,1,367,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,0.0,4.0,7.0,5.0,0.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,5.0,1.0,1.0,5.0,3.0,5.0,0.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0
0,1,639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,0.0,3.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,10.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,9.0,7.0,7.0,7.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,8.0,6.0,9.0,8.0,6.0,9.0,7.0,22.0,7.0,7.0,10.0,24.0,9.0,8.0,10.0,0.0,8.0,9.0,6.0,15.0,5.0,5.0,4.0,14.0,8.0,2.0,11.0,7.0,5.0,8.0,4.0,4.0,5.0,4.0,1.0,3.0,8.0,8.0,1.0,1.0,7.0,2.0,7.0,3.0,6.0,2.0,3.0,5.0,5.0,6.0,5.0,1.0,2.0,2.0,18.0,2.0
0,1,655,21.0,21.0,21.0,25.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,31.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,34.0,35.0,35.0,35.0,29.0,21.0,21.0,21.0,21.0,21.0,21.0,3.0,0.0,28.0,28.0,28.0,28.0,28.0,28.0,12.0,0.0,16.0,28.0,20.0,0.0,12.0,28.0,28.0,28.0,28.0,24.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,26.0,28.0,28.0,28.0,17.0,21.0,21.0,21.0,21.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,20.0,21.0,21.0,21.0,15.0,14.0,14.0,14.0,17.0,21.0,21.0,21.0,20.0,14.0,14.0,14.0,14.0,9.0,7.0,7.0,7.0,10.0,14.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,6.0,3.0,11.0,12.0,10.0,12.0,15.0,8.0,12.0,48.0,11.0,5.0,19.0,15.0,11.0,9.0,11.0,0.0,7.0,6.0,9.0,10.0,14.0,8.0,3.0,12.0,12.0,6.0,15.0,14.0,8.0,9.0,3.0,4.0,13.0,3.0,5.0,3.0,10.0,11.0,4.0,4.0,11.0,9.0,3.0,4.0,4.0,6.0,9.0,4.0,2.0,9.0,8.0,6.0,0.0,17.0,21.0,37.0
0,1,1149,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,0.0,4.0,7.0,5.0,0.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0
0,1,1485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,4.0,2.0,2.0,3.0,1.0,6.0,2.0,3.0,1.0,11.0,9.0,5.0,0.0,7.0,18.0,2.0,0.0,1.0,21.0,23.0,2.0,1.0,1.0,2.0,0.0,22.0,10.0,6.0
0,1,1965,21.0,21.0,21.0,23.0,28.0,28.0,28.0,28.0,22.0,21.0,21.0,21.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,34.0,35.0,35.0,35.0,29.0,21.0,21.0,21.0,21.0,28.0,28.0,4.0,0.0,28.0,28.0,28.0,28.0,28.0,28.0,12.0,0.0,14.0,21.0,15.0,0.0,9.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,15.0,21.0,21.0,21.0,21.0,28.0,28.0,28.0,28.0,23.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,15.0,6.0,17.0,16.0,13.0,20.0,12.0,17.0,12.0,26.0,9.0,14.0,17.0,23.0,19.0,23.0,11.0,0.0,10.0,5.0,14.0,16.0,14.0,6.0,12.0,17.0,12.0,11.0,23.0,15.0,13.0,12.0,5.0,5.0,11.0,4.0,11.0,11.0,13.0,12.0,3.0,10.0,13.0,6.0,15.0,18.0,18.0,3.0,5.0,14.0,34.0,42.0,48.0,1.0,0.0,0.0,0.0,0.0
0,1,1969,0.0,0.0,0.0,2.0,7.0,7.0,7.0,7.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,7.0,7.0,7.0,7.0,13.0,14.0,14.0,14.0,11.0,7.0,7.0,7.0,7.0,14.0,14.0,2.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,0.0,4.0,7.0,5.0,0.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,1.0,0.0,4.0,4.0,6.0,2.0,0.0,4.0,8.0,2.0,2.0,6.0,12.0,4.0,1.0,2.0,0.0,2.0,6.0,3.0,6.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,7.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0
0,1,3179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,5.0,0.0,4.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,9.0,5.0,0.0,1.0,11.0,1.0
0,1,3234,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,3.0,0.0,4.0,7.0,5.0,0.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
0,1,3463,0.0,0.0,0.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,0.0,7.0,7.0,7.0,7.0,11.0,14.0,6.0,0.0,6.0,7.0,5.0,0.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,14.0,14.0,14.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,7.0,1.0,1.0,4.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0
