Client,Warehouse,Product,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-01-31,2022-02-07,2022-02-14,2022-02-21,2022-02-28,2022-03-07,2022-03-14,2022-03-21,2022-03-28,2022-04-04,2022-04-11,2022-04-18,2022-04-25,2022-05-02,2022-05-09,2022-05-16,2022-05-23,2022-05-30,2022-06-06,2022-06-13,2022-06-20,2022-06-27,2022-07-04,2022-07-11,2022-07-18,2022-07-25,2022-08-01,2022-08-08,2022-08-15,2022-08-22,2022-08-29,2022-09-05,2022-09-12,2022-09-19,2022-09-26,2022-10-03,2022-10-10,2022-10-17,2022-10-24,2022-10-31,2022-11-07,2022-11-14,2022-11-21,2022-11-28,2022-12-05,2022-12-12,2022-12-19,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-30,2023-02-06,2023-02-13,2023-02-20,2023-02-27,2023-03-06,2023-03-13,2023-03-20,2023-03-27,2023-04-03,2023-04-10,2023-04-17,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-19,2023-06-26,2023-07-03,2023-07-10,2023-07-17,2023-07-24,2023-07-31,2023-08-07,2023-08-14,2023-08-21,2023-08-28,2023-09-04,2023-09-11,2023-09-18,2023-09-25,2023-10-02
0,1,367,10.900001,10.900001,10.900001,15.582857,27.289999,27.289999,27.289999,27.289999,28.01,28.130001,28.130001,28.130001,18.821428,11.839999,11.839999,11.839999,11.387143,8.67,8.67,8.67,8.67,5.858571,5.39,5.39,5.39,8.278571,12.13,12.13,12.13,12.13,15.25,15.25,15.25,,21.74,21.74,21.74,21.74,18.974287,16.9,16.9,,13.255,9.61,9.61,,9.61,16.432858,17.57,17.57,17.57,16.432858,15.58,15.58,15.58,16.23,20.130001,20.130001,20.130001,20.130001,16.415714,14.93,14.93,14.93,15.494,15.87,15.87,15.87,15.87,14.47,14.47,14.47,14.47,11.255714,9.97,9.97,9.97,12.032858,17.19,17.19,17.19,17.19,25.478573,26.86,26.86,26.86,15.785714,13.940001,13.940001,13.940001,17.137142,21.4,21.4,21.4,19.812857,10.29,10.29,10.29,10.29,12.747144,13.7300005,13.7300005,13.7300005,14.715714,16.03,16.03,16.03,16.03,13.29,13.29,13.29,13.29,21.8,,,46.343334,41.983334,33.16,,45.92,45.92,36.218,47.66,47.66,42.284,48.243332,42.98,,49.416668,,49.41,,42.76,50.353333,42.76,50.04,42.98,50.04,40.256664,,34.9,42.905,34.9,,,,51.18,,,,45.713333,50.82,,,52.53,52.53,,,53.6,,52.94,,52.94,,52.94,51.86,,,51.859997,
0,1,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.94,11.940001,11.940001,,11.94,71.28923,76.235,76.235,76.235,72.78357,70.195,70.195,70.195,73.04714,90.159996,90.159996,90.159996,90.159996,91.94929,92.665,92.665,92.665,94.048,94.96999,94.96999,94.96999,94.96999,78.815,78.815,78.815,78.815,85.601105,91.03001,91.03001,91.03001,77.39667,60.355,60.355,60.355,60.355,52.139286,50.77,50.77,50.77,54.245716,54.825,54.825,54.825,61.557858,70.534996,70.534996,70.534996,69.281425,61.760002,61.760002,61.760002,61.760002,64.837776,67.3,67.3,67.3,78.59286,93.65,93.65,93.65,93.65,88.71,88.71,88.71,88.71,89.2475,89.5,92.405,93.16,91.12,93.52,91.62667,94.67777,91.43,108.49273,104.33,93.88286,94.741,95.79958,98.23778,107.61,97.371,,102.3275,107.97889,100.05334,105.989334,98.55,97.082,97.84,107.159996,99.06875,94.905,101.37818,103.64,96.442,100.8725,111.455,111.455,101.082,98.2675,102.16,102.16,108.96625,101.99625,97.13,106.06,120.21715,87.91,110.57143,120.04667,119.18167,104.695,106.9,99.866,106.897995,117.71167,113.462,104.71,121.85,118.425,100.30722,103.45
0,1,655,21.343332,21.343332,21.343332,22.8812,25.188,25.188,25.188,25.188,22.803429,22.406,22.406,22.406,24.094517,25.6775,25.6775,25.6775,25.845,26.85,26.85,26.85,26.85,27.284117,27.342,27.342,27.342,26.421724,24.376667,24.376667,24.376667,24.376667,24.953335,24.953335,24.953333,,23.1625,23.1625,23.1625,23.1625,23.293928,23.3925,23.3925,,23.06375,22.735,22.735,,22.735,26.926428,27.625,27.625,27.625,26.8075,25.99,25.99,25.99,25.685715,23.86,23.86,23.86,23.86,22.954231,22.682499,22.682499,22.682499,23.101177,23.473333,23.473333,23.473333,23.473333,25.265,25.265,25.265,25.265,17.700714,14.675,14.675,14.675,16.067858,19.550001,19.550001,19.550001,19.550001,20.834,20.976667,20.976667,20.976667,22.815334,23.275,23.275,23.275,21.835882,20.556667,20.556667,20.556667,21.1235,26.225,26.225,26.225,26.225,25.472221,24.869999,24.869999,24.869999,20.796001,18.08,18.08,18.08,18.08,25.679998,25.679998,25.679998,25.679998,24.351667,22.543333,27.80909,27.1075,24.7,21.555,26.513334,27.55375,25.175833,25.717499,27.123634,28.605999,25.106842,21.996,22.664545,29.652222,26.402727,,28.347141,29.708334,27.153334,26.313,26.06,27.52125,21.513334,29.1025,26.161667,27.14,26.223999,27.935715,27.34125,26.608889,30.706667,29.9425,30.077694,25.066666,30.670002,30.49,28.351002,29.657274,26.08,30.7825,29.660002,30.51,32.006664,31.41,32.2225,32.225002,30.794443,29.555,28.605,29.823334,31.4225,30.751665,,30.691765,21.125238,7.5729733
0,1,1149,11.4800005,11.4800005,11.4800005,12.291429,14.32,14.32,14.32,14.32,10.642858,10.03,10.03,10.03,8.721429,7.7400002,7.7400002,7.7400002,7.7771425,8.0,8.0,8.0,8.0,10.322858,10.71,10.71,10.71,10.984285,11.349999,11.349999,11.349999,11.349999,12.96,12.96,12.96,,10.39,10.39,10.39,10.39,9.235715,8.37,8.37,,7.7,7.0299997,7.03,,7.03,10.321428,10.87,10.87,10.87,11.184286,11.42,11.42,11.42,10.927142,7.9700003,7.9700003,7.9700003,7.9700003,8.184286,8.2699995,8.2699995,8.2699995,8.690001,8.97,8.97,8.97,8.97,5.7000003,5.7000003,5.7000003,5.7000003,6.3285713,6.5800004,6.5800004,6.5800004,5.9542856,4.39,4.39,4.39,4.39,5.8300004,6.07,6.07,6.07,6.3957143,6.4500003,6.4500003,6.4500003,6.501428,6.57,6.57,6.57,6.0685716,3.06,3.06,3.06,3.06,5.517143,6.5,6.5,6.5,5.4414287,4.0299997,4.0299997,4.0299997,4.0299997,5.06,5.06,5.06,5.06,5.06,30.59,30.59,,30.59,,30.31,,,,31.46,31.46,,32.62,32.62,32.62,,,33.23,33.23,,,33.03,33.23,33.03,33.03,33.142002,,33.005,,,33.38,33.78,33.78,,,33.54,33.54,,,,34.713333,,,,35.43,35.42,,34.98,34.98,35.0,,34.99,34.275,34.275,34.28,,33.86
0,1,1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.981176,28.98087,28.98,29.69,29.685,29.686666,28.98,29.478333,29.48,29.480001,29.48,29.47909,29.435556,29.35,,29.351429,29.952223,29.95,,29.95,29.93619,29.583042,29.765,29.58,29.58,28.98,,28.977728,28.875,28.628334
0,1,1965,29.29,29.29,29.29,28.40652,26.75,26.75,26.75,26.75,26.619091,26.59,26.59,26.59,27.4156,27.880001,27.880001,27.880001,28.399643,31.5175,31.5175,31.5175,31.5175,29.306765,29.012,29.012,29.012,29.538965,30.71,30.71,30.71,30.71,25.9025,25.9025,25.9025,,26.17,26.17,26.17,26.17,26.377142,26.5325,26.532501,,27.76,29.396667,29.396667,,29.396667,31.808094,32.21,32.21,32.21,30.03857,28.41,28.41,28.41,27.906193,24.883333,24.883333,24.883333,24.883333,25.578573,25.856667,25.856667,25.856667,27.252666,28.183332,28.183332,28.183332,28.183332,25.067501,25.067501,25.067501,25.067501,25.738695,26.096668,26.096668,26.096668,25.64238,24.506668,24.506668,24.506668,24.506668,23.940952,23.846666,23.846666,23.846666,22.36381,22.116667,22.116667,22.116667,24.962381,28.756668,28.756668,28.756668,27.828096,22.256668,22.256668,22.256668,22.256668,27.699524,29.876665,29.876665,29.876665,27.440952,24.193333,24.193333,24.193333,24.193333,22.02,22.02,22.02,22.02,24.49,26.358332,28.67941,29.195,25.336924,25.653,28.248335,28.435293,26.868334,25.380001,29.081112,30.025713,26.566471,24.422607,26.937895,31.132608,28.637274,,28.626001,29.820002,30.351429,28.338125,28.001429,26.896667,29.249166,29.907059,28.431665,29.82818,29.436522,29.655333,28.568462,30.486666,32.239998,32.242,29.687273,27.2875,32.07909,32.015457,29.793846,32.18,28.903334,33.099,32.377693,31.276667,32.224667,33.776665,33.247223,30.43,33.776,31.99643,10.792647,14.071905,6.2547917,0.0,,,,
0,1,1969,,,,13.81,13.809999,13.809999,13.809999,13.809999,24.13923,25.0,25.0,25.0,21.405714,18.710001,18.710001,18.710001,18.803846,19.929998,19.929998,19.929998,19.929998,22.925385,23.175001,23.175001,23.175001,22.81091,21.84,21.84,21.84,21.84,21.91,21.91,21.91,,23.9,23.9,23.9,23.9,24.74,25.369999,25.37,,23.59,21.81,21.810001,,21.81,24.347141,24.77,24.77,24.77,16.604286,10.4800005,10.4800005,10.4800005,11.831429,19.94,19.94,19.94,19.94,19.227499,19.085001,19.085001,19.085001,23.235714,28.77,28.77,28.77,28.77,20.97,20.97,20.97,20.97,14.22,11.5199995,11.5199995,11.5199995,12.900001,16.35,16.35,16.35,16.35,15.801429,15.71,15.71,15.71,17.758572,18.1,18.1,18.1,13.287143,6.87,6.87,6.87,7.432857,10.809999,10.809999,10.809999,10.809999,8.424286,7.4700003,7.4700003,7.4700003,8.485715,9.839999,9.839999,9.839999,9.839999,12.940001,12.940001,12.940001,12.940001,16.57,26.89,,34.7075,32.3775,31.449999,30.07,,30.2025,29.63,33.135,37.91,30.978333,29.179167,29.67,36.03,32.305,,33.485,39.43,36.62,33.951668,30.3875,32.765,36.713333,34.170002,32.745,28.99,35.263332,35.266666,38.45,33.51,41.46,37.32,30.39,,41.170002,,39.8,37.02667,29.36,41.183334,34.42,38.286667,42.62,42.013332,31.19,,38.59,30.67,38.59,38.896667,38.59,37.8,,,37.879997,
0,1,3179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.71,21.710001,21.710001,21.710001,21.710001,23.63857,23.960001,23.960001,23.960001,14.428572,12.839999,12.839999,12.839999,15.8785715,19.929998,19.929998,19.929998,18.207142,7.87,7.87,7.87,7.87,14.127143,16.630001,16.630001,16.630001,13.801429,10.03,10.03,10.03,10.03,8.809999,8.809999,8.809999,8.809999,8.81,33.605,33.605,31.885,33.600002,,33.305,,31.595,33.713333,,34.55,31.03,33.67,31.03,35.825,32.17,,36.046665,36.5,33.71,34.6425,36.5,36.28,36.28,32.58,,36.22,34.375,32.53,36.22,,37.106667,37.1,37.1,,36.850002,36.846,,35.8675,,36.87,38.15,38.149998,38.673332,38.94,38.94,,38.46,38.455,38.46,38.46,38.45889,37.670002,,37.67,37.67,0.0
0,1,3234,5.4199996,5.4199996,5.4199996,5.9714284,7.35,7.35,7.35,7.35,5.3957143,5.07,5.07,5.07,8.235715,10.61,10.61,10.61,9.337143,1.6999999,1.6999999,1.6999999,1.6999999,6.02,6.7400002,6.7400002,6.7400002,6.3542857,5.84,5.84,5.84,5.84,1.8199999,1.8199999,1.82,,,,,,1.67,1.67,1.6700001,,2.495,3.32,3.3200002,,3.32,5.7885714,6.2000003,6.2000003,6.2000003,3.617143,1.6800001,1.6800001,1.6800001,1.9185715,3.3500001,3.3500001,3.3500001,3.3500001,2.1928573,1.7299999,1.7299999,1.7299999,5.648,8.26,8.26,8.26,8.26,0.83,0.83,0.83,0.83,5.4014287,7.23,7.23,7.23,5.8557143,2.42,2.42,2.42,2.42,3.4057143,3.57,3.57,3.57,3.1928573,3.1299999,3.1299999,3.1299999,2.1185715,0.77,0.77,0.77,1.0928571,3.03,3.03,3.03,3.03,2.0085714,1.6,1.6,1.6,1.5657142,1.5200001,1.5200001,1.5200001,1.5200001,4.55,4.55,4.55,4.55,4.5499997,,,22.92,,22.715,,22.71,,22.715,23.58,23.57,,23.575,23.57,,,,24.43,,,24.9,24.9,24.75,,24.746666,,24.71,24.71,24.71,,,,,,25.13,25.14,,,26.02,,,26.02,,,,,26.56,,26.23,,26.23,26.23,,,25.69,25.69,25.38
0,1,3463,,,,30.52,30.52,30.52,30.52,30.52,22.677143,21.369999,21.369999,21.369999,29.598572,35.77,35.77,35.77,33.98857,23.300001,23.300001,23.300001,23.300001,23.24,23.23,23.23,23.23,18.597141,12.42,12.42,12.42,12.42,33.5,33.5,33.5,,41.68,41.68,41.68,41.68,37.84,36.4,36.399998,,32.966667,26.1,26.1,,26.1,30.300001,31.0,31.0,31.0,25.674286,21.679998,21.679998,21.679998,22.324286,26.19,26.19,26.19,26.19,23.031668,22.4,22.4,22.4,26.651428,32.32,32.32,32.32,32.32,40.63,40.63,40.63,40.63,19.187143,10.61,10.61,10.61,10.841429,11.42,11.42,11.42,11.42,14.094286,14.54,14.54,14.54,25.742857,27.61,27.61,27.61,25.15,21.869999,21.869999,21.869999,19.731428,6.9,6.9,6.9,6.9,3.3500001,1.9300001,1.9300001,1.9300001,4.6557145,8.29,8.29,8.29,8.29,6.7400002,6.7400002,6.7400002,6.7400002,6.74,,,54.46,48.966667,39.015,,,35.58,43.1125,,,40.128,46.47,40.13,,,,58.07,59.17,58.07,57.1925,59.165,,42.135,58.809998,,,,42.06,,54.41,,,,,60.15,,53.26,,,,,61.73,,54.79,54.79,63.0,62.22,44.49,,,62.22,60.94,,60.94,55.94286,
