Client,Warehouse,Product,2023-10-09,2023-10-16,2023-10-23,2023-10-30,2023-11-06,2023-11-13,2023-11-20,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01
0,1,367,51.86,51.86,51.86,51.23,51.23,,,,52.39,,,,
0,1,639,98.908005,113.28,116.136665,103.45,103.45,114.74,103.450005,104.615,105.78,123.65,105.78,106.44,106.880005
0,1,655,10.39,30.3,31.17,30.79,30.79,30.795,,31.023333,29.91,31.495,31.66,31.49,31.8175
0,1,1149,34.27,34.28,,,33.87,33.86,,34.62,34.63,34.62,,34.98,
0,1,1485,,28.978333,28.978094,28.63,28.6275,28.63,28.63,29.2725,29.275,29.275,29.27,29.576668,
0,1,1965,,,,,,,,,,,,,
0,1,1969,42.065,37.34,42.06,,,42.2675,42.49,42.49,40.36,,,,
0,1,3179,18.835,37.67,37.593334,,37.21,37.21,37.21,38.05,36.773335,38.056667,,,
0,1,3234,25.38,25.69,25.38,,,,25.38,25.96,,,25.96,,
0,1,3463,60.22,,60.21,,,,61.57,61.57,,,,,
0,1,3515,,91.17,85.26,,94.89,,0.0,47.35,,,,,98.04
0,1,4337,64.876,,65.35,64.56333,64.56,64.565,64.565,66.02,66.02,66.02,66.02,66.02,66.71
0,1,4431,39.178,19.89143,39.47,39.215,38.9925,38.995003,38.9925,39.7625,39.8725,39.873333,39.875,40.045002,40.285458
0,1,5317,,42.79,42.29,,47.04,,,47.34,,48.1,,,
0,1,5604,53.42235,53.46,53.384705,52.81706,52.897335,52.867085,52.90286,53.820526,54.010002,54.140213,54.01,54.329998,54.57
0,1,5619,48.965,49.26167,,38.79875,48.67,48.67,49.03,39.23625,39.675,42.64,50.28,,42.124
0,1,5657,,,,,,38.99,38.99,39.87,39.87,,39.875,,40.28
0,1,5871,36.823334,36.645,36.87,,36.701668,36.42,36.42923,36.588,37.248,37.253334,,37.478,
0,1,6341,89.545,,82.185,81.195,81.2,,,83.025,,,83.03167,83.025,83.89
0,1,6898,56.855,50.47,56.85,,,57.1225,,56.17,51.65,,,57.43,
0,1,7022,,42.065,41.896667,41.56,41.56,41.565,42.5,42.2575,42.49,42.49,42.5,42.49,42.94
0,1,7186,51.649998,51.86,51.7,51.234,51.2325,51.23,51.23,52.39,52.390003,52.390003,52.66,52.570004,52.934288
0,1,7457,,49.26,,48.67,48.67,48.67,,49.765,49.76,,49.76,49.76,
0,1,7469,35.48,35.47333,35.473125,35.05,35.05,35.05,,35.83,35.84,,35.84,36.2,
0,1,7661,,,,,,,,,,,,,
0,1,7984,73.74,,74.64,65.91334,,73.74,,68.9875,,,,75.41,
0,1,8011,131.1385,121.484116,131.49333,140.47055,134.12529,136.04059,125.30697,139.40074,135.88445,142.0872,131.198,133.97318,142.95695
0,1,8157,25.69,25.69,,25.39,,25.38,25.38,25.96,,25.96,,26.23,
0,1,8264,126.58857,133.49,133.49,122.972,131.88,133.37,129.97,134.86333,130.93001,134.865,134.86333,134.86,131.496
0,1,8468,43.146,43.05,,,43.0425,,0.0,,,,,,
0,1,8587,49.56,48.97,48.96,,50.07,,,,,,50.073334,,50.6
0,1,8869,48.966663,49.56,49.565,,,,,,,,,,
0,1,10705,,49.26,48.9625,48.67,,48.668,33.176666,49.76,49.76,49.76,50.28,,50.28
0,1,11000,,32.45577,32.56889,32.99,32.812,34.823,36.635,32.953335,37.244,33.384,33.384,34.378334,33.73
0,1,11015,30.81,27.68,27.36,,,,,41.936665,,,,,
0,1,11526,,60.95,60.945,,60.21,60.218,60.21,,,61.57,,,
0,1,11552,32.600906,32.671112,32.67286,32.28,32.28,32.280003,23.369999,32.928886,33.01,33.010002,33.286,33.23833,33.353333
0,1,11983,31.18,,,,30.800001,,,31.49,31.495,31.548332,,,31.82
0,1,12171,245.71,,,,,,,,,,248.23,,250.81
0,1,12298,,,,,139.69,,,142.84,142.84,,,144.33,
0,1,14160,6.3283334,7.5940003,37.96857,37.514,,38.36,37.51,,38.355,38.36,,32.994,
0,1,14311,57.55,57.55,57.555,,46.604286,50.993336,,47.367146,,49.985,45.905,48.856,58.75
0,3,0,122.36556,106.23955,90.96182,112.48444,104.57773,99.721176,121.090004,121.98,126.0,126.0,100.8,126.0,126.0
0,3,400,34.181503,35.408485,37.088425,36.714363,36.661545,36.66151,36.66121,37.264458,38.149998,38.15,36.365204,38.087254,38.149998
0,3,439,40.36541,39.935936,40.56983,40.1097,40.028202,32.990658,40.02855,41.11353,41.65,41.65,41.649998,41.397575,41.65
0,3,1102,20.094769,19.858696,20.569767,21.513704,20.289455,19.641356,19.497196,21.788485,20.177711,20.696098,21.983797,20.934374,16.174936
0,3,1154,124.72548,133.01128,139.51088,139.5116,113.02732,138.87582,119.77721,141.58727,141.45746,141.36586,136.09914,143.50449,141.65294
0,3,1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
0,3,1274,0.2025,,,,0.2,,,0.2090909,0.21000001,,,0.21,
0,3,1536,18.322523,18.409195,17.793055,18.226625,18.163158,18.16314,18.16282,18.305706,18.899944,18.633732,18.899918,18.9,18.899897
0,3,1704,,,,,,,,,,,,,
0,3,2119,5.182651,4.8871527,5.0971565,6.269364,5.3576517,5.529953,4.9216013,6.2999096,5.627322,5.405625,0.66544724,5.549928,5.400398
0,3,2391,0.070245095,0.023431374,0.1747561,0.09194175,0.028893443,0.15347826,0.11911392,0.15104167,0.245,0.27007875,0.16780822,0.27022058,0.18148148
0,3,2506,4.460929,4.318651,6.2428184,6.3966665,6.144231,6.286936,6.0459228,5.42,6.28597,6.0632353,6.5951853,6.4232955,5.911111
0,3,2628,36.942024,40.749905,40.678795,49.83511,37.51609,37.22739,34.20967,49.512333,34.91875,39.33684,43.682087,45.210598,38.850002
0,3,2838,,,,0.0,0.0,,,,,,,,
0,3,2884,1.7950189,5.9205165,16.930473,10.935135,10.574556,13.480118,14.901369,7.994248,16.422655,15.648387,10.175,13.267692,19.42907
0,3,2949,49.544147,49.771255,49.13324,49.197437,49.11,49.10995,49.11,50.2756,51.1,51.1,51.1,51.100002,51.1
0,3,3401,,,,,,,,,,,,,
0,3,3419,52.197117,52.5,52.5,51.844997,51.8,51.8,51.8,52.7822,53.899998,53.9,53.9,53.63707,53.9
0,3,3520,27.583393,27.06691,27.68425,27.161146,27.412897,25.726114,27.212925,27.404839,28.511417,28.373547,28.295784,28.295855,28.518637
0,3,3583,9.722776,14.210526,10.198962,22.003334,13.401219,13.002857,11.1,21.915483,11.590813,17.231352,15.907186,15.58459,12.693564
0,3,3702,17.037035,19.772295,19.313906,11.050174,4.761048,11.718669,19.51,18.93468,20.3,20.300001,20.3,20.228521,20.3
0,3,3751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,3778,3.3890321,3.4096155,3.41,3.363125,3.3633335,3.3633335,3.3614287,3.4429412,3.5,3.5,3.5,3.5,3.5
0,3,4285,51.769623,44.954567,55.787304,55.254612,54.880905,54.93088,55.16232,56.342068,57.4,57.4,52.634186,57.4,57.4
0,3,4520,0.6694286,0.86830187,0.6,0.49361113,0.694375,0.84693545,0.58916664,0.6106173,0.7,0.036713287,0.6611111,0.602459,0.7
0,3,4592,3.7575357,10.907058,21.565155,17.132221,17.212025,18.12085,19.576994,13.882157,20.818518,21.065348,16.983284,19.10116,23.64035
0,3,5023,6.7951283,6.8190002,6.8191524,6.7343397,6.7277775,5.133684,6.23561,6.7655935,7.0,7.0,7.0,7.0,7.0
0,3,5274,45.28162,46.429737,45.93365,46.48943,37.881004,46.236443,45.50195,47.42987,46.649998,46.719273,18.565544,47.35526,46.54008
0,3,5376,20.346909,20.30248,20.451605,20.203083,19.494015,19.782104,20.180305,20.700901,20.861841,20.846716,21.0,21.0,21.0
0,3,5456,29.181381,30.48736,31.467442,31.33575,31.28046,31.174536,31.280352,32.000088,32.55,32.49969,31.505613,32.55,32.55
0,3,5493,169.62178,167.86514,170.38963,168.3111,168.11055,168.11057,168.11021,169.04561,174.93001,174.2845,146.46506,174.93001,174.93
0,3,5512,40.04789,40.228237,40.22836,39.76973,39.69,39.69,39.690033,40.32439,41.3,41.3,41.3,41.20164,41.3
0,3,5599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,5824,13.45,13.64,13.64,13.45,13.45,13.45,,13.45,,,14.0,14.0,14.0
0,3,5901,,,,,,,,,,,,,
0,3,5933,37.980095,38.18,38.180153,37.15809,37.670887,35.397327,37.66189,38.70658,39.2,39.2,39.2,39.199997,39.2
0,3,6100,51.88598,52.16,52.16,50.48918,51.460747,49.96175,51.4475,52.798416,53.550003,53.55,53.55,53.55,53.55
0,3,6289,0.40643835,0.41,0.41,0.40454543,0.40166667,0.40300003,0.40285712,0.39652175,0.42000002,0.42,0.4197826,0.4198113,0.42
0,3,6436,37.782166,39.23576,40.573124,41.76858,32.69907,39.896473,39.58347,42.41665,39.82033,42.228348,39.944263,41.862743,40.67126
0,3,6581,19.660444,19.77087,19.77143,19.5555,19.51,5.7460957,19.51,19.732779,20.3,20.300001,20.300001,20.025677,20.3
0,3,6614,0.0,0.11333333,0.375,0.025897436,0.0,0.0,0.063125,0.0,0.0,0.0,0.42000002,0.0,0.0
0,3,6816,21.721071,21.82,21.819836,21.569832,19.50979,17.492231,21.529154,21.17331,22.4,22.4,22.4,22.4,18.2784
0,3,6838,,,,,0.67333335,0.6725715,,,,0.7,0.7,0.7,
0,3,7256,42.72428,42.75089,42.951576,42.48109,42.38011,42.380398,42.380257,42.891876,44.100002,44.100002,44.100002,43.836716,44.1
0,3,7299,40.73,40.90992,40.90994,40.423584,40.36073,40.361866,40.36124,41.361984,42.0,42.0,42.0,42.0,42.0
0,3,7363,15.081448,14.37935,18.41,17.931143,17.619553,8.633934,18.147755,18.439266,17.468182,18.9,18.9,18.553211,18.9
0,3,7918,40.686256,40.909794,39.713684,40.4309,40.361073,40.361576,40.361675,41.41008,42.0,42.00007,42.0,41.75294,42.0
0,3,8087,,,29.659286,29.306185,29.262274,18.621616,29.262222,28.857447,30.449999,30.45,30.45,30.449999,30.45
0,3,8123,56.062725,58.410892,60.51961,60.517628,50.435215,59.567684,57.222115,61.742493,62.86,62.86,58.749264,62.86,62.859997
0,3,8196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018181818,0.0,0.0,0.0139999995,0.0
0,3,8313,42.758736,42.950954,42.95152,42.503014,40.810646,42.380333,42.380272,43.14364,44.100002,44.1,44.100002,44.100002,44.1
0,3,8439,34.50968,34.70211,34.702103,34.31047,34.24074,34.24055,34.240353,34.995003,35.63,35.629997,35.63,35.55638,35.63
0,3,8689,31.865519,32.047802,32.047928,31.677374,31.619362,31.61959,31.619566,32.001472,32.9,32.9,32.9,32.899998,32.899998
0,3,8754,43.132294,44.966564,48.49083,48.211674,48.1,47.233334,48.100002,49.2281,50.05,50.05,45.729137,49.71744,50.05
0,3,8851,2.2651393,8.521919,19.576271,14.175,13.821076,16.02186,17.7899,10.792105,18.344118,18.012499,13.530001,17.781443,22.228832
0,3,8868,1.36125,1.364,1.3629411,1.3479999,1.3453333,1.34625,1.34625,1.374,1.4,1.4,1.4,1.4,1.4
